Titel, Referentiedatasoort[Waarden],
"Referentiedatasoort:BOEKJAARPERIODESOORT","Klasse,Klasse:VERA-Boekjaren/VERA 4.1.4+240311.2,Financien,
Klasse,Klasse:VERA-BoekjaarPerioden/VERA 4.1.4+240311.2,Financien"
"Referentiedatasoort:BOEKJAARPERIODESTATUS","Klasse,Klasse:VERA-BoekjaarPerioden/VERA 4.1.4+240311.2,Financien"
"Referentiedatasoort:BOEKJAARSTATUS","Klasse,Klasse:VERA-Boekjaren/VERA 4.1.4+240311.2,Financien"
"Referentiedatasoort:BOUWKUNDIGELEMENTDETAILSOORT","Klasse,Klasse:VERA-BouwkundigElementen/VERA 4.1.4+240311.2,Vastgoed,
Bericht,Klasse:BVG-BouwkundigElementen/VERA 4.1.4+240311.2,BVG
Bericht,Klasse:OHD-BouwkundigElementen/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:OHD-Inspectierapporten/VERA 4.1.4+240311.2,OHD"
"Referentiedatasoort:BOUWKUNDIGELEMENTPLAATSING","Klasse,Klasse:VERA-BouwkundigElementen/VERA 4.1.4+240311.2,Vastgoed,
Bericht,Klasse:BVG-BouwkundigElementen/VERA 4.1.4+240311.2,BVG
Bericht,Klasse:OHD-BouwkundigElementen/VERA 4.1.4+240311.2,OHD"
"Referentiedatasoort:BOUWKUNDIGELEMENTSOORT","Klasse,Klasse:VERA-BouwkundigElementen/VERA 4.1.4+240311.2,Vastgoed,
Bericht,Klasse:BVG-BouwkundigElementen/VERA 4.1.4+240311.2,BVG
Bericht,Klasse:OHD-BouwkundigElementen/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:OHD-Inspectierapporten/VERA 4.1.4+240311.2,OHD"
"Referentiedatasoort:BRANDWERENDHEIDSCORE","Klasse,Klasse:VERA-BouwkundigElementen/VERA 4.1.4+240311.2,Vastgoed,
Bericht,Klasse:BVG-BouwkundigElementen/VERA 4.1.4+240311.2,BVG
Bericht,Klasse:OHD-BouwkundigElementen/VERA 4.1.4+240311.2,OHD"
"Referentiedatasoort:BTW","Klasse,Klasse:VERA-Prijscomponenten/VERA 4.1.4+240311.2,Overeenkomsten,
Bericht,Klasse:BOG-Overeenkomsten/VERA 4.1.4+240311.2,BOG
Bericht,Klasse:BOG-Prijscomponenten/VERA 4.1.4+240311.2,BOG
Bericht,Klasse:BVG-Eenheden/VERA 4.1.4+240311.2,BVG
Bericht,Klasse:VHE-Eenheden/VERA 4.1.4+240311.2,VHE
Bericht,Klasse:WRV-Eenheden/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Publicaties/VERA 4.1.4+240311.2,WRV"
"Referentiedatasoort:BTWAANGIFTESTATUS","Klasse,Klasse:VERA-BtwAangiften/VERA 4.1.4+240311.2,Financien"
"Referentiedatasoort:BURGERLIJKESTAAT","Klasse,Klasse:VERA-NatuurlijkPersonen/VERA 4.1.4+240311.2,Relaties"
"Referentiedatasoort:CLUSTERSOORT","Klasse,Klasse:VERA-Clusters/VERA 4.1.4+240311.2,Vastgoed,
Bericht,Klasse:BVG-Clusters/VERA 4.1.4+240311.2,BVG
Bericht,Klasse:BVG-Eenheden/VERA 4.1.4+240311.2,BVG
Bericht,Klasse:OHD-CollectiefObjecten/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:VHE-Clusters/VERA 4.1.4+240311.2,VHE
Bericht,Klasse:VHE-Eenheden/VERA 4.1.4+240311.2,VHE
Bericht,Klasse:WRV-Eenheden/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Publicaties/VERA 4.1.4+240311.2,WRV"
"Referentiedatasoort:COLLECTIEFOBJECTSOORT","Klasse,Klasse:VERA-CollectiefObjecten/VERA 4.1.4+240311.2,Vastgoed,
Bericht,Klasse:OHD-CollectiefObjecten/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:WRV-Eenheden/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Publicaties/VERA 4.1.4+240311.2,WRV"
"Referentiedatasoort:COMMUNICATIEKANAAL","Klasse,Klasse:VERA-Onderzoeksopdrachten/VERA 4.1.4+240311.2,Kwaliteit,
Klasse,Klasse:VERA-Contactmomenten/VERA 4.1.4+240311.2,Relaties,
Bericht,Klasse:BDO-Informatieobjecten/VERA 4.1.4+240311.2,BDO
Bericht,Klasse:BRG-Contactmomenten/VERA 4.1.4+240311.2,BRG
Bericht,Klasse:KMT-Kwaliteitsmetingsverzoeken/VERA 4.1.4+240311.2,KMT
Bericht,Klasse:KMT-Onderzoeksopdrachten/VERA 4.1.4+240311.2,KMT
Bericht,Klasse:OHD-Onderhoudsverzoeken/VERA 4.1.4+240311.2,OHD
Bericht,Klasse:WRV-Aanbiedingen/VERA 4.1.4+240311.2,WRV
Bericht,Klasse:WRV-Reclamaties/VERA 4.1.4+240311.2,WRV"
